ID CARTO;Adresse;CP;Ville;Opération;Activité précise du locataire;Catégorie activité;Enseigne;LAT_ok;LONG_ok;XY
C233;41-43 av Daumesnil;75012;Paris;Viaduc des arts;Café-restaurant;SERVICES A LA PERSONNE;LE VIADUC CAFÉ;48.84762959;2.37504486;48.84762959, 2.37504486
C188;152 rue de Charenton;75012;Paris;Foncière;Epicerie fine italienne;ALIMENTAIRE;LES RDV ITALIENS;48.84512671;2.38130023;48.84512671, 2.38130023
C2;35 Rue Myrha;75018;Paris;CHÂTEAU ROUGE;Disquaire;CULTUREL;;48.88704521;2.35326659;48.88704521, 2.35326659
C223;91 av Daumesnil;75012;Paris;Viaduc des arts;;TRAVAUX;;48.84566201;2.37914347;48.84566201, 2.37914347
C104;29 rue de Seine;75006;Paris;DLH;Objets d'art, antiquités;EQUIPEMENT;MONTRES DE COLLECTION;48.85606748;2.33671999;48.85606748, 2.33671999
C314;41 rue de Lancry;75010;Paris;VQ2;Charcuterie - traiteur - crèmerie - fromagerie;ALIMENTAIRE;LA CRÉMERIE;48.87113716;2.36159353;48.87113716, 2.36159353
C88;2 place du Châtelet;75004;Paris;DLH;Café;SERVICES A LA PERSONNE;LE SARAH BERNARD;48.85728082;2.3477333;48.85728082, 2.3477333
C101;5/7 rue des Beaux-Arts;75006;Paris;DLH;Galerie d'art;CULTUREL;ENTWISTLE;48.85630664;2.33573643;48.85630664, 2.33573643
C129;21 Avenue du Maine;75015;Paris;DLH;garage;EQUIPEMENT;GARAGE DU MAINE;48.84343741;2.32095837;48.84343741, 2.32095837
C174;48 rue de la Folie Méricourt;75011;Paris;Foncière;Coiffeur;SERVICES A LA PERSONNE;NICOLAS WALDORF;48.86384025;2.3721792600000002;48.86384025, 2.3721792600000002
C260;29-33 av daumesnil;75012;Paris;Viaduc des arts;;SERVICES A LA PERSONNE;;48.84800601;2.37426081;48.84800601, 2.37426081
C297;43 rue du Château d'Eau;75010;Paris;VQ2;Atelier de tapisserie;METIERS D'ART;ATELIER VELVET;48.87150739;2.35748637;48.87150739, 2.35748637
C335;102, rue de Reuilly;75012;Paris;VQ2;Vente au détail de meubles, vêtements et autres objets de seconde main;SERVICES A LA PERSONNE;COMMUNAUTÉ EMMAÜS DE PARIS;48.84143399;2.39320669;48.84143399, 2.39320669
C342;183 Rue Legendre;75017;Paris;VQ2;Caviste;ALIMENTAIRE;MEILLEURSVINSBIO.COM;48.89220316;2.32632181;48.89220316, 2.32632181
C170;117 rue Chemin vert/ 36 rue Servan;75011;Paris;Foncière;Restaurant;SERVICES A LA PERSONNE;LA JOIE DE VIVRE;48.86168402;2.38265086;48.86168402, 2.38265086
C1;40 Rue Myrha;75018;Paris;CHÂTEAU ROUGE;architectes;SERVICES AUX ENTREPRISES;ARCHIVOX;48.8870812;2.35286476;48.8870812, 2.35286476
